class_id,class_name,mAP50-95
79,WZ9,0.5966845665171551
69,Tu22M,0.743787880170811
61,Su24,0.7511038684761878
66,TB2,0.7787214940680793
78,WZ7,0.7802882940971039
62,Su25,0.7911083633222888
53,Mi8,0.8200611440796044
72,UH60,0.8243165085655892
74,V22,0.8247028415045955
31,F35,0.832965634498812
14,C130,0.8361325901497192
83,Z10,0.8390668488312011
33,H6,0.8408899984231153
28,F16,0.8435334976122103
15,C17,0.8454686893046459
29,F18,0.8456378369106314
44,KC135,0.8472333068690681
84,Z19,0.8479311302605084
34,Il76,0.8536361526286182
35,J10,0.8536833237251695
24,EMB314,0.8542018943942121
59,Rafale,0.8548215502233342
57,P3,0.8618184223202988
70,Tu95,0.8632380818972019
81,Y20,0.8648043756232544
5,An124,0.8650634907251247
3,AH64,0.8655646049352251
10,B2,0.8743186207834741
32,F4,0.8748650979061031
55,Mig31,0.8748963855353591
7,An225,0.8751500412956827
4,AV8B,0.876297585141752
0,A10,0.8774443663186263
27,F15,0.8787136730942441
12,B52,0.8792465248406589
54,Mig29,0.8793887963129027
19,CH47,0.8803898261339412
56,Mirage2000,0.8805946322428246
21,E2,0.8825423888954003
30,F22,0.8851682628664832
23,EF2000,0.8869667224169471
49,MQ9,0.887097720587742
8,An72,0.8902034386014022
58,RQ4,0.8905589265155746
51,Mi26,0.8907164160187333
20,CL415,0.8919734703080768
38,J36,0.894725697461648
37,J35,0.8966138752724422
47,Ka27,0.8986262885653404
63,Su34,0.8991529246420071
9,B1,0.9013457480060166
11,B21,0.9017417755240139
26,F14,0.9032767902781194
43,KAAN,0.9042024260984214
77,WZ10,0.9051435522647286
50,Mi24,0.9071098676877588
1,A400M,0.9081172148569632
36,J20,0.9087936516538389
25,F117,0.9102660433897307
40,JAS39,0.9111940503618087
48,Ka52,0.9113567816493285
71,U2,0.9135528779558234
68,Tu160,0.9144449996030695
42,JH7,0.9161768711124456
67,Tornado,0.9182643383784199
65,TB001,0.9202237868360233
52,Mi28,0.9266113454514576
2,AG600,0.9274575224430424
6,An22,0.9287597274845671
46,KJ600,0.9302391096750917
39,J50,0.931413941322085
60,SR71,0.9354355091282283
41,JF17,0.9360825516925246
76,Vulcan,0.9371030652453595
80,XB70,0.9372661634451657
73,US2,0.9391005078667913
64,Su57,0.9407879786310062
13,Be200,0.9407894925523758
22,E7,0.941591376595013
18,C5,0.9430360026764018
17,C390,0.9448205617917719
75,V280,0.9529775819911906
82,YF23,0.9572084162130542
45,KF21,0.9631399548583459
16,C2,0.9632234413052784
